name,"$\epsilon_{tag}, \%$","$\Delta \epsilon_{tag}, \%$",$D^2$,$\Delta D^2$,"$\epsilon, \%$","$\Delta \epsilon, \%$","AUC, with untag","$\Delta$ AUC, with untag"
vtx_xgboost,18.197760715747396,0.049494077397071894,0.05062120768880009,0.0010791730581968776,0.9211926246629363,0.01979770848476978,0.0,0.0
vtx_tmva,18.197760715747396,0.049494077397071894,0.042035113677205006,0.0009299845758062781,0.7649449403570174,0.017051038591298803,0.0,0.0
$K$_xgboost,17.079610820497898,0.04794940730772546,0.054639283832018055,0.0010570946418298542,0.9332177033615915,0.01824386279513971,0.0,0.0
$K$_tmva,17.079610820497898,0.04794940730772546,0.047595738332979955,0.001273808255098422,0.8129166874415511,0.02187552079427286,0.0,0.0
$e$_xgboost,1.6424181955422574,0.014869149632621672,0.17446067850352598,0.0063380940819316,0.28653739278083906,0.010728150767013011,0.0,0.0
$e$_tmva,1.6424181955422574,0.014869149632621672,0.17159745763692047,0.0071601021415594,0.28183478673166984,0.012033495753521145,0.0,0.0
$\mu$_xgboost,5.438510172288291,0.02705728590059968,0.17089162279410128,0.003606885087486832,0.9293958289245735,0.02015367849270964,0.0,0.0
$\mu$_tmva,5.438510172288291,0.02705728590059968,0.1648871608479904,0.002985008201265252,0.8967405015515314,0.016835877026800648,0.0,0.0
