name,"$\epsilon_{tag}, \%$","$\Delta \epsilon_{tag}, \%$",$D^2$,$\Delta D^2$,"$\epsilon, \%$","$\Delta \epsilon, \%$","AUC, with untag","$\Delta$ AUC, with untag"
iso-xgb_combined,34.4403683945,0.0680891875565,0.068322900005,0.00156007435844,2.35306584595,0.0539305532602,56.9478882745,0.0
iso-tmva_combined,34.4405095856,0.0680893271249,0.0666097502993,0.00186368878352,2.29407374367,0.0643464281406,56.8452088573,0.0
log-xgb_combined,34.4405095856,0.0680893271249,0.0717476439345,0.000825624757293,2.47102541867,0.0288515392817,56.936902419,0.0
log-tmva_combined,34.4405095856,0.0680893271249,0.0671800377493,0.000916419148953,2.31371473407,0.0318916904156,56.8069846645,0.0
