name,name,"$\epsilon_{tag}, \%$","$\Delta \epsilon_{tag}, \%$",$D^2$,$\Delta D^2$,"$\epsilon, \%$","$\Delta \epsilon, \%$","AUC, with untag","$\Delta$ AUC, with untag"
tt-iso,tt-iso,72.3976409136,0.098720299779,0.0251071398407,0.000479125951998,1.81769769455,0.0347760288865,57.5267639956,0.0
tt-log,tt-log,72.3976409136,0.098720299779,0.0312930875426,0.000408428668623,2.26554571499,0.0297302101859,57.4685440984,0.0
